;LISTA DE PRECIOS (JUNIO - 26);;;
YT08521;YATO;"LÁMPARA DE TALLER 3 EN 1 EN ESTUCHE 380LM, LI-ION 3.7V 2200MAH, IP54
Juego multifuncional de 3 lámparas de taller con un cuerpo común. El sistema de desconexión rápida garantiza una conexión fácil y rápida de los cabezales al cuerpo de la lámpara. La potente batería de iones de litio de 3,7 V y 2200 m Ah garantiza de 1,5 a 8,5 horas de funcionamiento. El set se presenta en un práctico y duradero maletín de transporte con clips que facilita su almacenamiento y transporte, y resulta ideal como regalo.
Fuente de luz: POWER LED
Número de lúmenes: 380 lm
Modelo 3 en 1: linterna, lámpara de inspección, lámpara de taller. 6 modos de funcionamiento: 3 cabezales, cada uno funcionando en modo alto y bajo.
Fuente de energía. Batería recargable: Li-Ion 3,7 V 2200 mAh (18650). Tiempo de funcionamiento: 1,5-8,5 h. Tiempo de carga: 4 h. Carga: cargador de red, cargador de coche de 12 V, cable USB
Construcción y características:
Material: aluminio, ABS. Embalaje: estuche. IP54 - Resistente al agua. Sistema de desconexión rápida - Sistema de conexión y desconexión rápida del cuerpo del cabezal, denominado desconector rápido
Base magnética. Indicador de carga de la batería (verde/rojo)
resistencia a las caídas 1 m. Peso del cuerpo (sin lámparas) 178 g
Cabezales:
1. Cabeza de linterna:
Modo de funcionamiento: bajo, alto. Número de lúmenes: 140 lm / 280 lm. Tiempo de funcionamiento: 5 / 2,5 h. Función zoom (enfoque). Dimensiones: 35 x 35 x 70 mm. Peso: 68 g
2 Cabezal de la lámpara de inspección:
Modo de funcionamiento: bajo, alto. Número de lúmenes: 100 lm / 190 lm. Tiempo de funcionamiento: 8,5 / 5,5 h. Brazo flexible. Dimensiones: 8 x 20 x 415 mm. Peso: 100 g
3. Cabezal de la lámpara de taller
Modo de funcionamiento: bajo, alto. Número de lúmenes: 180 lm / 380lm. Tiempo de funcionamiento: 4 / 1,5 h. Giratorio 360 grados. Plegable 180 grados. Dimensiones: 35 x 35 x 229,5 mm. Peso: 86 g"; $99.990 ;
YT0852;YATO;"LÁMPARA LED DE TRABAJO • 61 LED
• luminosidad: 13000MCD
• batería: Nimh recargable (3.6V, 1200MAD)
• cargador: CA 230V GS cargador / dc12V; Carga: 4 horas
• descarga: alrededor de 4 horas
• gancho para colgar; Magnético en la parte posterior, interruptor de botón en la manija
• impermeable"; $37.990 ;
YT08523;YATO;"LÁMPARA LED DE TRABAJO • 27LED
• luminosidad: 13000MCD
• batería: Nimh recargable (3.6V, 1200MAD)
• cargador: CA 230V GS cargador / dc12V; Carga: 4 horas
• descarga: alrededor de 4 horas
• gancho para colgar; Magnético en la parte posterior, interruptor de botón en la manija
• impermeable"; $41.990 ;
YT08590;YATO;"Linterna frontal de metal ligero con diodo CREE 3W de alta potencia, 100 lm, 3 modos de iluminación (normal, económico, SOS), función de enfoque, ajuste del ángulo de inclinación, compartimento de la batería trasera para un mejor equilibrio y comodidad del usuario, luz trasera roja adicional (bueno para caminar y ciclismo), 3 correas elásticas ajustables, impermeables, toma adicional para un cargador (cargador no incluido). Tipo de protección (Código IP): IP 20
Para uso profesional y no profesional.
Linterna frontal con correas ajustables y compartimento para pilas, pilas no incluidas"; $15.990 ;
88671;VOREL;LINTERNA TIPO CINTILLO CON 17 LED. 3 modos de iluminación: 100%, 50%, intermitente. Grado de protección [IP] : IP 20. Pilas no incluidas.; $13.990 ;
L-HEAD-1;IRIMO;"Linterna recargable para la cabeza 
L-HEAD-1
LED SMD de 400 lm.
Dos opciones de intensidad y luz intermitente para la cabeza.
Función de aumento para un mejor enfoque.
Cabeza articulada.
Luz roja en la parte trasera con opción de parpadeo.
Correa ajustable.
Batería de litio de 3,7 V y 2200 mAh.
Hasta 5 horas de funcionamiento.
Incluye cable de carga micro USB de 1 m.
Temperatura del color: 6000ºK.
IP44.
Índice de reproducción cromática (CRI) >70.
CE-EMC/RoHS/Reach."; $27.490 ;
45233;HPH;"LINTERNA LED MANOS LIBRES RECARGABLE
Lúmenes ? 2500 lm
Se suministra con correas ajustables para poder adaptarla a cualquier tamaño de cabeza
Autonomía: 20 h."; $18.500 ;
YT08592;YATO;"Linterna frontal 480 lm, recargable con la opción de seleccionar 2 tipos de luz LED, que pueden ser utilizados para otras aplicaciones - independientemente de la elección de los LED, el usuario también selecciona el tipo de luz entre enfocada y difusa, y puede encender ambos tipos al mismo tiempo, para obtener la máxima potencia lumínica. La potencia luminosa se ajusta manteniendo pulsado el interruptor. Gracias al sensor de movimiento incorporado, es posible encender y apagar la linterna con un movimiento de la mano, lo que garantiza una mayor comodidad de uso. El ángulo de la luz es ajustable en 4 rangos, ajustando así el dispositivo a las necesidades del operador. El entorno que rodea a los leds, tras ser iluminado, brilla con luz propia durante varias decenas de minutos en la oscuridad. Después de separar la lámpara del cinturón, se puede fijar a una superficie metálica, gracias a la base magnética. La diadema transpirable proporciona comodidad durante el trabajo. El indicador de la pila ofrece una indicación luminosa del tiempo de trabajo restante. Datos técnicos:
Batería: Li-Po. Tensión: 3.7V. Capacidad: 1,4Ah. Número de lúmenes: 480lm. Diodos: LED COB, LED OSRAM. 4 modos de funcionamiento: 300lm (OSRAM 100%)/90lm (OSRAM 30%)/250lm (COB 100%)/480lm (SST40+COB). Tiempo de funcionamiento: 1,5-10h. Tiempo de funcionamiento en modos: 3h (OSRAM 100%)/10h (OSRAM 30%)/3,5h (COB)/1,5h (OSRAM + COB). Estanqueidad: IP54. Resistencia a las caídas: 1m. Tiempo de carga: 2-2.5h. Carga: cable USB. Material: aluminio, ABS"; $39.990 ;
YT08593;YATO;"Linterna frontal 500 lm, recargable cuenta con 2 tipos de LED, que pueden utilizarse para diferentes aplicaciones; además, el usuario tiene la opción de elegir entre luz focalizada y difusa, así como de encender ambos LED para obtener la luz más intensa. La potencia se puede ajustar manteniendo pulsado el interruptor. El usuario puede encender y apagar la luz con un movimiento de la mano, gracias al sensor de movimiento incorporado. Los 4 niveles de ajuste del ángulo de la luz acentúan la versatilidad del aparato. Alrededor de los leds hay un borde, que durante varias decenas de minutos es capaz de brillar con luz propia en la oscuridad, tras la exposición previa a la luz. Es posible separar la lámpara de la diadema y fijarla a una superficie metálica, gracias a la base magnética. La diadema es transpirable, lo que hace más cómodo su uso. El operador es informado del estado de carga a través de un indicador. La linterna puede funcionar con la batería recargable incorporada o con pilas. Datos técnicos: Batería: Li-Po. Tensión: 3.7V. Capacidad: 1.0Ah. Alimentación opcional: 3xAAA. Número de lúmenes: 500lm. Diodos: LED COB, LED OSRAM. 4 modos de funcionamiento: 400lm (OSRAM 100%)/120lm (OSRAM 30%)/200lm (COB 100%)/500lm (SST40+COB). Tiempo de funcionamiento: 1,2-10h. Tiempo de funcionamiento en modos: 2h (OSRAM 100%)/10h (OSRAM 30%)/4h (COB)/1,2h (OSRAM + COB). Estanqueidad: IP54. Resistencia a las caídas: 1m. Tiempo de carga: 2-2.5h. Carga: cable USB
Material: aluminio, ABS"; $41.990 ;
YT08594;YATO;"LINTERNA FRONTAL 800LM RECARGABLE CON DETECTOR DE MOVIMIENTO.
Linterna frontal Yato muy potente y funcional con luz ajustable suavemente hasta 800lm. Cuatro modos de funcionamiento le permiten ajustar la iluminación según sus actividades y el nivel de batería. El sensor de movimiento incorporado le permite encender y apagar la lámpara con un movimiento de su mano. Además, la linterna frontal tiene una serie de comodidades: ajuste del ángulo de iluminación, la posibilidad de separarla del cinturón, base magnética e indicador de carga de la batería. La linterna frontal está alimentada por una batería de iones de litio de gran capacidad que proporciona de 1,5 a 5 horas de trabajo.
ABS – se caracteriza por una dureza muy alta, lo que lo hace altamente resistente a arañazos, impactos y abolladuras. Además, es resistente a varios agentes químicos.
IP54 -protección contra el acceso a partes peligrosas por cable y protección contra el polvo y protección contra salpicaduras de agua desde cualquier dirección.
Características:
Diadema elástica, ajustable y transpirable
Ángulo de haz ajustable - 4 niveles (máximo 60 grados)
Posibilidad de separar el faro de la banda
Base magnética (se puede utilizar como reflector)
Fosforescencia - el borde alrededor de los LED - durante varias docenas de minutos brilla en la oscuridad con su propia luz después de la exposición previa
Indicador de carga de la batería - 30-100% de batería (luz verde), 5-30% de batería (luz roja), menos del 5% de batería (luz roja intermitente)."; $59.990 ;
OVIS-3P;PRETUL;"CINTILLO LUPA OPTOVISOR CON LUZ LED

* Fabricado en ABS con banda ajustable para mayor comodidad
* Ángulo de luz ajustable
* Ideal para trabajo o detalle con manos libres
* 3 Intensidades de luz: 9, 13 y 18 lúmenes
* Lentes intercambiables (1,2X 1,8X 2,5X 3,5X)
* Luz giratoria.
* Ideal para trabajos a detalle con manos libres.
* 3 pilas AAA
Estuche para lentes intercambiables
Lente con aumento 1.2X con distancia de 52-62 cm
Lente con aumento 1.8X con distancia de 23-32 cm
Lente con aumento 2.5X con distancia de 15-25 cm
Lente con aumento 3.5X con distancia de 8-12 cm"; $34.490 ;
YT08599;YATO;"LINTERNA DE CUELLO RECARGABLE. 
Tipo de potencia: a batería
Voltaje: 3,7 V
Batería incluida: sí
Cantidad de baterías: 1
Capacidad de batería: 2,0 Ah
Tipo de batería: Li-Ion
Fuente de luz: luz LED
Intensidad de la luz: 300 lm
Peso: 0,222 kg"; $41.990 ;
YT08564;YATO;"Linterna con carcasa de aluminio duradero (aleación anodizada 6063 T6).
Posee modernos y eficientes diodos POWER LED de la reconocida marca CREE y una cómoda correa de mano y botón de goma.

LED XPG3 CREE con una potencia de 6 W y un flujo luminoso de 500 lm
Rango de iluminación: 230 m
4 modos de luz: 100%, 20%, atenuación (presionando el botón), parpadeo (presionando el botón dos veces)
Punta que le permite romper el parabrisas en el coche
La clase de hermeticidad IPX7 muy alta permite la inmersión en agua hasta una profundidad de 1 m durante 30 minutos.
Fuente de alimentación: 4 x AA (pilas no incluidas)
Dimensiones: Ø 40,5 mm x 172 mm"; $26.990 ;
YT08559;YATO;"LINTERNA DE MANO RECARGABLE 900 LM
Linterna de mano duradera de aluminio, equipada con un diodo SST40 que proporciona 900 lúmenes de luz y un alcance de 200 mts. Cinco modos de funcionamiento le permiten ajustar la iluminación según la actividad y el nivel de carga de la batería. Equipado con una batería de iones de litio de 3,7 V y 2200 mAh, proporciona hasta 7 horas de funcionamiento y permite cargar otros dispositivos - función Power Bank. Un beneficio adicional es la base única de la linterna que puede actuar como abridor de botellas y rompeventanas. El juego viene en un estuche duradero con clips para facilitar su almacenamiento y transporte.
Diodo: LED SST40 de 10W.
Lúmenes: 900 lúmenes.
Alcance: 200 m.
Batería: LI-ION 3,7 V 2200 mAh (18650).
Tiempo de trabajo: 3-7 horas.
Tiempo de carga: 5-6 horas.
Carga: cable USB.
Material: aluminio.
5 modos de funcionamiento.
IP64 resistente al agua.
Embalaje: estuche de plástico.
Tamaño: 42x200mm.
Peso: 229 g (sin batería).
Peculiaridades:
5 modos de funcionamiento: alto/medio/bajo/pulso/sos.
La función Power Bank le permite cargar muchos dispositivos cotidianos.
La función de zoom (enfoque) le permite cambiar rápidamente el grado de enfoque de la luz: iluminación enfocada o difusa.
Abridor de botellas en base.
Martillo de cristal de emergencia en la base.
*IP64: protección completa contra la penetración de polvo y protección contra caídas desde cualquier ángulo y desde todos los lados (lluvia)."; $34.990 ;
YT08566;YATO;"Linterna con carcasa de aluminio duradero (aleación anodizada 6063 T6).
Posee modernos y eficientes diodos POWER LED de la reconocida marca CREE y una cómoda correa de mano y botón de goma.

LED XPG2 CREE eficientes con una potencia de 5 W y un flujo luminoso de 300 lm
Rango de iluminación: 150 m
3 modos de iluminación: 100%, 50%, intermitente
zoom
La alta clase de hermeticidad IPX4 protege la linterna contra salpicaduras de agua y lluvia.
Dimensiones: Ø 34 mm x 126 mm
Fuente de alimentación: 3 x AAA (pilas no incluidas)"; $31.990 ;
156510;WINTEX;Linterna pequeña de caucho. 3 led. Resistente al agua. Medidas de 140 x 4 cms. Utiliza 2 pilas 1,5V AA (no incluidas). Vida útil de los LED 80.000 horas.; $4.300 ;
153035;WINTEX;Linterna con 1 led frontal de alta luminosidad x 10 led laterales. Magneto en la base. Medidas de 23 x 4,5 cms. Utiliza 3 pilas AAA (no incluidas). ; $9.500 ;
152447;WINTEX;Linterna led recargable con panel solar y puerto USB.  450 lumen. (Splash water resistance).; $19.500 ;
YT08579;YATO;"Lámpara reflectora YATO 530 lm:
El reflector multifunción Yato, gracias a su construcción y hasta 11 modos de funcionamiento, será perfecto para acampadas, viajes, deberes o como luz de advertencia para el automóvil.  El faro LED CREE XPG tiene un alcance de 500m y una iluminación de 530 lúmenes. Equipado con una potente batería de iones de litio de 3,7 V y 4400 mAh, proporcionará de 3 a 150 horas de funcionamiento y puede cargar otros dispositivos: función de banco de energía.
Fuente de luz: Faro: CREE XPG LED. Cantidad de lúmenes: 530 lm. Alcance máximo: 500m. 11 modos de funcionamiento (3 linternas, 5 lámparas de camping, 3 lámparas rojas):
Linterna - modo alto: 530lm
Linterna - modo bajo: 170lm
Linterna - parpadeando (flash)
Lámpara de camping - modo alto, lámpara completa: 140 lm
Lámpara de camping - modo bajo, lámpara completa: 45 lm
Lámpara de camping - modo alto, media lámpara: 80 lm
Lámpara de camping - modo bajo, media lámpara: 28lm
Lámpara de camping - parpadeando (flash)
Lámpara roja - luz constante
Lámpara roja - intermitente (flash)
Lámpara roja - iluminación giratoria
Fuente de energía: Batería: LI-ION 3.7V 4400mAh (2 x 18650). Tiempo de trabajo: 3h - 150h. Tiempo de carga: 5h. Carga: cable USB. Función POWERBANK: la capacidad de cargar muchos dispositivos cotidianos"; $89.990 ;
YT82961;YATO;"FOCO LUZ LED INALÁMBRICO 18V 1600LM 20W
2 MODOS: 100% POTENCIA COMPLETA Y 50% POTENCIA MEDIA; CARCASA DE METAL; ÁNGULO AJUSTABLE; ASA DE TRANSPORTE;  INCLUYE 1 BATERÍA DE 2,0 AH Y CARGADOR"; $104.990 ;
YT81814;YATO;"REFLECTOR LED SMD CON SOPORTE 20W 1800LM. Proyector plano con diodos LED SMD eficientes colocados sobre un soporte estable y ajustable. La clase de estanqueidad IP65 también permitirá su uso en exteriores.  Potencia: 20W
Potencia: 220-240V, 50 / 60Hz
Lúmenes: 1800 lm
Diodo de Cantidad: 28
Clase de estanqueidad IP65
Color claro: 6500K
Carcasa de aluminio
Pantalla de cristal
Vida útil del diodo: 30.000 h
Cable: H05RN-F 3G1.0MM
Longitud del cable: 2 m
Tipo: plano (delgado)
Parante:
Altura mínima y máxima: 0,6 m - 1,2 m
Diámetro del tubo de soporte: 25 cm / 32,5 cm
Diámetro de las piernas: 19,5 cm
IP65 - protección a prueba de polvo, protección contra chorros de agua (12,5 l / min) vertidos en la carcasa desde cualquier lado)"; $59.990 ;
YT81815;YATO;"Proyector LED SMD con soporte 2*20 W
Dos focos planos con LED SMD de alta eficiencia, colocados sobre un soporte estable y ajustable. El índice de sellado IP65 también permitirá su uso en exteriores.
Características:
Potencia: 2 x 20 W = 40 W.
Voltaje: 220-240 V, 50/60 Hz.
Lúmenes: 2 x 1800 lm = 3600 lm.
Número de LED: 28.
Clase de sellado IP65.
Color de luz: 6500K.
Caja de aluminio.
Vida útil del LED: 300h.
Cable: H05RN-F 3G1.0MM.
Longitud del cable: 2 m.
Tipo: plano (delgado).
Trípode:
Altura mínima y máxima: 0,6 m - 1,2 m.
Diámetro del tubo de soporte: 25 cm/32,5 cm.
Diámetro de la pierna: 19,5 cm."; $69.990 ;
386203;TACTIX;"Sostenedor de piezas magnético, diámetro 150mm.
"; $10.500 ;
YT0830;YATO;"Sostenedor de piezas magnético, diámetro 150mm.
"; $7.990 ;
YT08302;YATO;SET DE DOS PLATOS MAGNETICOS. DIAMETROS DE 108 Y 150 MM.; $9.990 ;
BMD150;BAHCO;"Plato magnético redondo.
Utilizado para guardar pernos, tuercas y herramientas.
Incorpora una base magnética protegida con goma para que el plato pueda adherirse a cualquier superficie magnética. Esta base de goma magnética no ocasionará daños en la carrocería del automóvil
Extensión ABS para un fácil almacenamiento de piezas no metálicas. La extensión permite guardar objetos en vertical sin que caigan.
Hecho de acero inoxidable
Diámetro externo: 150 mm"; $14.990 ;
YT0831;YATO;"Sostenedor de piezas magnético, 350x150 mm
"; $17.790 ;
5750;BAHCO;Funda p/asiento de auto lavable.; $16.990 ;
NB030202;WERKZEUG;PROTECTOR DE TAPABARROS  DE 650 X 1050 MM MAGNETICO Y CON 4 GANCHOS; $17.990 ;
PPT3P;THORTOOLS;"SET PROTECTOR FRONTAL Y LATERAL DE PARACHOQUE Y TAPABARROS 3 PIEZAS. COLOR ROJO.
La funda para parachoque mide 1.350 x 650 mm. e incorpora 3 ganchos y 4 imanes.
Las dos fundas laterales para tapabarros miden 1.100 x 450 mm. e incluyen dos ganchos y 3 imanes cada una.
Fáciles de instalar. Fabricadas en poliéster, resistentes al agua. Protegen la pintura. Fáciles de limpiar y lavar."; $29.990 ;
YT2830;YATO;Probador de corriente rango 100 - 250 V 190 mmL; $1.990 ;
YT28301;YATO;Probador de corriente rango 100 - 250 V 140 mmL; $1.890 ;
78-207;STANLEY;Probador de circuitos 6 - 12 V.; $18.900 ;
YT2866;YATO;Probador de circuitos 6 - 12 V. 90 cms; $6.990 ;
YT28522;YATO;Probador de circuitos 6 - 24 V. 250 cms; $4.990 ;
YT2865;YATO;Probador de circuitos 6 - 24 V. 90 cms.; $3.290 ;
AL018003798001;HELLA;"Probador de Corriente 6 - 24v.
Facilita la operación de localización y diagnóstico de averías en circuitos eléctricos en el automóvil
Ayuda a identificar cortocircuitos, cables cortados, localización de polaridad, prueba de elementos eléctricos
Fácil conexión a la batería mediante las pinzas
Especificaciones Del Probador De Circuitos 6~24V
Para vehículos equipados con sistemas de 6 V, 12 V o 24 V
Permite detectar rápidamente las imperfecciones en la instalación de energía
Modelo con un diseño compacto"; $8.990 ;
DC3-48V;THORTOOLS;"Tester probador de circuitos eléctricos multi-voltaje automotriz.
DC3-48V.
Pinzas de cocodrilo resistentes ayudan a prevenir cortocircuitos accidentales"; $5.990 ;
